dialect,wer,cer,bleu,chrf,semdist
AG,44.346558791003254,19.979255801892908,36.51042275396932,75.17273076771696,0.13152623838848537
BE,53.72229166564143,26.95509855546858,29.12269105234184,68.11489990199325,0.15246281057155778
BL,44.455940150384606,20.450379680544646,36.67746553266948,74.203157404945,0.1326135579082701
FR,50.54687376115947,26.6304347826087,25.959602181630803,68.4992569387948,0.10708988564355033
GL,14.583333333333334,3.1914893617021276,72.87279633144989,94.4542019770557,0.07750728726387024
GR,33.088763088763095,20.066518847006652,46.06577262903681,75.46803665693453,0.0717698981364568
LU,42.493220287337934,19.446870451237263,41.92548714431528,74.98551743314755,0.146684935279921
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,45.35419322057252,22.890173410404625,34.13928098193691,72.10843195283772,0.1316372651992173
SH,47.66483516483517,20.363636363636363,22.549485791744218,70.03823897692912,0.1628510057926178
SO,49.89405656072322,24.241229798975166,38.41150949705223,74.81522840667526,0.10602362867858675
SZ,44.279516779516776,20.076481835564053,39.02212226511739,75.8374755386762,0.10952328973346287
TG,42.558702408702395,18.96395031808543,36.154613942933075,75.30312618523706,0.12867049366235733
UR,57.93480593480592,24.81827622014538,30.185610542663902,66.6522144501497,0.19877606232961018
VS,44.15305282952342,20.998278829604132,41.231377451498936,71.1460578621812,0.1722276706029387
ZG,63.00119325119326,29.327146171693734,21.616331462866466,66.99055027518052,0.14918840924898782
ZH,41.34883827592161,19.536747458952306,39.69016991717069,75.98243589684208,0.10978428522745769
OVERALL,46.77230230822352,22.433218548360134,35.13571597074952,72.73112252426107,0.1335204625772021
