dialect,wer,cer,bleu,chrf,semdist
AG,67.41372310816757,27.006352910670294,16.697300825411112,59.068676283961295,0.24972886509365505
BE,79.1897784754927,35.23091154913542,9.997242906822605,48.723987041062905,0.3537297792769418
BL,67.94225835892502,25.713537575281485,14.510470674773307,59.93674491654377,0.25741435477027186
FR,65.46251367679939,32.2463768115942,11.28664104446692,52.15747407456113,0.24084400279181345
GL,50.416666666666664,10.106382978723403,24.85093232023314,79.98669489335913,0.20521149039268494
GR,63.800320050320046,25.49889135254989,13.712464211919254,60.521171305199296,0.21878490348656973
LU,73.4561897797192,28.79184861717613,13.513008005851393,55.13146978408422,0.30006139769273643
NW,75.0,15.384615384615385,21.3643503198117,79.33155324073022,0.15479594469070435
SG,71.35581851099094,29.33847141939627,13.605236798573348,57.203560303543064,0.2878682220290447
SH,54.25824175824176,25.09090909090909,16.508945139876474,56.88972898736209,0.22948582470417023
SO,70.34428534428535,30.666141111549074,18.58965571764176,59.40804382628275,0.23518016106552547
SZ,68.75596625596626,31.166347992351817,14.058313993372732,53.01937586245277,0.29377471407254535
TG,65.96096126096127,26.14359285065132,17.55739812217656,58.62681168810139,0.2587916848063469
UR,71.29777629777631,30.73727933541018,13.00598377614579,49.73652500140748,0.3270118862390518
VS,69.13317075081781,29.259896729776248,15.832706505108597,53.58044551953667,0.3006368156741647
ZG,79.84307359307358,31.647331786542924,11.35224596852425,56.934148996930176,0.3189611425002416
ZH,64.54166589583252,26.319390148553556,17.29003965079079,60.73346147262508,0.2424549631153544
OVERALL,70.97366486995692,29.462405135234533,14.289626963079971,56.231393825616074,0.2856753386928336
