dialect,wer,cer,bleu,chrf,semdist
AG,34.15511186344521,20.49786075457021,52.5827657073441,82.31355483665467,0.06773259683891579
BE,33.110983160244245,17.448231694300148,50.02352308517073,80.90641621560093,0.07322495955551786
BL,31.61877731322176,14.427860696517413,46.73540848690663,83.47437385546802,0.06359051664670308
FR,38.420706277849135,20.108695652173914,39.01752475848714,74.28234322122928,0.06923726626804896
GL,9.166666666666666,1.0638297872340425,88.27756844701798,99.00140812911053,0.004044751326243083
GR,18.76230251230251,10.643015521064301,61.467789736120444,86.8930082673303,0.11055274307727814
LU,32.0988270988271,14.148471615720522,51.78114243792339,82.113994641252,0.08876620905072082
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,29.324669583290266,15.709698137443803,50.96626506776693,82.30593694307598,0.06152594783182802
SH,33.997252747252745,14.909090909090908,41.971718388920564,78.84828431832427,0.07462821900844574
SO,33.02443698277032,17.18565234528971,52.97412105598259,83.24225970792105,0.03944767183727688
SZ,36.14623031289698,16.826003824091778,52.80236172411837,87.07932567815483,0.1477865907880995
TG,31.755266955266947,14.147228112693123,49.61017473961585,82.80564529967226,0.07074191927909851
UR,30.476301476301476,11.318795430944965,53.49554745030387,80.4027077261584,0.10698149005572001
VS,30.17482517482518,13.941480206540447,54.11485115204756,79.33975514028525,0.11215119502123665
ZG,33.90817515817516,18.097447795823665,45.95506672842886,81.89786859528638,0.0416820744673411
ZH,27.54640999432666,12.79319781078968,53.96742535184834,84.17946074303441,0.06619001179933548
OVERALL,31.19638826475446,15.897161579352078,51.47237393096262,82.46455146452601,0.06952043697842303
