dialect,wer,cer,bleu
AG,21.71989121989122,9.63572267920094,67.98425144627794
BE,27.11921411921412,10.16781836130306,57.374738965601324
BL,44.673520923520925,18.353344768439108,41.84940242453145
GL,42.857142857142854,16.091954022988507,37.88187210633423
GR,65.38461538461539,22.31404958677686,33.1183620146017
LU,19.031339031339034,8.428246013667426,64.18419961143945
NW,60.0,28.735632183908045,8.73716785171588
SG,32.38716838716839,15.242165242165242,45.9512134628571
SO,21.47186147186147,5.150214592274678,49.778585190105595
TG,32.73402523402523,12.9973474801061,46.214486050390484
UR,29.86111111111111,11.11111111111111,48.10564688400608
VS,45.0,13.821138211382115,33.51262665744406
ZG,27.424242424242426,4.31266846361186,53.44578878463424
ZH,32.786261357689924,14.482758620689657,45.360626484691075
OVERALL,30.3952380952381,11.991434689507495,52.3853749517932
