dialect,wer,cer,bleu
AG,85.05150405150405,47.47356051703878,8.442993013353282
BE,90.23190143190145,55.13326752221125,3.5675034930542795
BL,80.93163780663781,53.17324185248714,5.076787341163923
GL,85.71428571428571,45.97701149425287,2.3595365419339505
GR,96.15384615384616,54.54545454545454,1.458247986226511
LU,87.46438746438746,41.91343963553531,2.8014722359034745
NW,100.0,54.02298850574713,0.0
SG,73.88883338883339,36.039886039886035,12.75677125486279
SO,95.23809523809524,66.09442060085837,1.3891526636579556
TG,76.42043142043143,34.217506631299734,8.341241689729967
UR,93.75,41.48148148148148,2.4675789207681893
VS,73.75,43.08943089430895,6.828267112874947
ZG,82.979797979798,46.63072776280324,6.95595390871515
ZH,81.60494267637125,46.43678160919541,7.423623771664438
OVERALL,84.573248973249,48.394004282655246,6.176164622779212
