dialect,wer,cer,bleu
AG,86.1068931068931,38.77790834312573,8.821076780633854
BE,89.2088245088245,36.37709772951629,4.285347679488171
BL,88.66973304473305,44.59691252144082,4.205866243188731
GL,64.28571428571429,20.689655172413794,22.11862500885864
GR,88.46153846153847,43.80165289256198,1.7158174139981897
LU,78.63247863247862,29.38496583143508,6.9796132293932045
NW,100.0,49.42528735632184,0.0
SG,75.75208125208125,30.05698005698006,9.96332484069296
SO,85.54112554112555,42.91845493562232,3.330999305899789
TG,71.43467643467643,31.03448275862069,9.744565153686706
UR,88.19444444444444,42.96296296296296,4.60074476724664
VS,87.5,29.268292682926827,5.162903789757797
ZG,85.9090909090909,27.762803234501348,5.2381676425218355
ZH,82.51712573141144,34.13793103448276,6.098853668917565
OVERALL,84.23111888111889,35.574589578872235,6.397204367936491
