dialect,wer,cer,bleu
AG,89.6121101121101,39.247943595769684,8.115527937742156
BE,94.86061716061715,43.18854886475814,3.7351404027301567
BL,77.32503607503608,37.735849056603776,8.614401845790367
GL,57.14285714285714,17.24137931034483,25.516927363782273
GR,88.46153846153847,39.66942148760331,3.095541352647859
LU,85.08547008547008,37.357630979498865,6.703627343801213
NW,110.00000000000001,54.02298850574713,0.0
SG,68.53096903096905,29.914529914529915,15.444122066161631
SO,97.61904761904763,45.06437768240343,0.6533543178824381
TG,74.56857956857958,29.44297082228117,8.195515012096477
UR,87.5,42.22222222222222,2.897799806497683
VS,72.5,25.203252032520325,10.823382652806256
ZG,90.10101010101009,36.92722371967655,2.52444069603576
ZH,76.57669711241142,32.41379310344827,14.96232700975746
OVERALL,84.57033244533245,37.63026409707352,8.110679382558278
