dialect,wer,cer,bleu
AG,95.97186147186147,38.190364277320796,6.798828469300937
BE,94.62142302142303,38.05528134254689,4.798445447156953
BL,87.8409090909091,42.53859348198971,5.564840914566239
GL,78.57142857142857,25.287356321839084,3.1572564565455266
GR,98.46153846153847,44.62809917355372,3.095541352647859
LU,81.87321937321937,29.6127562642369,7.265915129205624
NW,110.00000000000001,45.97701149425287,0.0
SG,73.47313797313797,30.91168091168091,10.823678459795838
SO,91.90476190476191,46.3519313304721,4.1660035231741235
TG,82.43894993894993,32.891246684350136,7.62936547218253
UR,111.11111111111111,39.25925925925926,4.129998753579077
VS,82.5,34.146341463414636,5.126241186847214
ZG,89.24242424242425,30.45822102425876,4.969223094140586
ZH,79.94386565815137,33.90804597701149,8.660282498880107
OVERALL,88.42302419802424,36.28836545324768,6.505196588084957
