dialect,wer,cer,bleu
AG,73.8938838938839,31.609870740305524,17.34931272766308
BE,79.21117771117771,32.03356367226061,17.227704170221692
BL,71.78210678210678,46.99828473413379,18.016148109950354
GL,78.57142857142857,24.137931034482758,10.56964613041054
GR,100.76923076923077,42.97520661157025,20.467682974312595
LU,60.65527065527066,23.006833712984054,19.460267620108887
NW,110.00000000000001,40.229885057471265,6.150343144231885
SG,63.48751248751248,28.205128205128204,16.76678104586169
SO,58.05194805194805,28.75536480686695,26.248516008192706
TG,62.59869759869759,26.25994694960212,18.84646160660627
UR,95.13888888888889,35.55555555555556,8.54618074540521
VS,93.75,35.77235772357724,7.875484430257204
ZG,113.08080808080808,43.93530997304582,8.49313624166234
ZH,54.008848294562576,26.091954022988507,23.616759977080182
OVERALL,73.00914918414918,32.07708779443254,17.74914220355604
