dialect,wer,cer,bleu
AG,143.27172827172825,108.34312573443007,15.166216367611591
BE,120.95850815850815,62.19151036525172,5.640633062451437
BL,115.41666666666666,77.53001715265866,6.444330959341748
GL,92.85714285714286,68.96551724137932,3.0098043843528286
GR,96.15384615384616,56.19834710743802,4.958860363545722
LU,120.34900284900284,76.76537585421413,12.12810855856766
NW,90.0,44.827586206896555,8.549161846379198
SG,86.74747474747474,44.58689458689459,8.535740521846943
SO,80.95238095238095,60.94420600858369,7.008224131376835
TG,68.89397639397639,31.03448275862069,12.435230363610257
UR,94.44444444444444,59.25925925925925,4.825029305704195
VS,196.25,148.78048780487805,4.93859134551451
ZG,97.52525252525251,58.490566037735846,5.9321561778752185
ZH,75.26895723324294,35.86206896551724,15.780849345895719
OVERALL,108.40107115107118,64.26837972876517,9.654224308880382
