dialect,wer,cer,bleu
AG,102.89377289377289,62.749706227967096,0.5216716138387545
BE,99.23343323343323,61.64856860809477,0.8010507904712143
BL,100.5952380952381,61.57804459691252,1.6327322145846703
GL,92.85714285714286,56.32183908045977,2.4779853471705344
GR,92.3076923076923,55.371900826446286,2.714105323516485
LU,93.73219373219372,49.65831435079727,2.2217474687357313
NW,130.0,60.91954022988506,0.0
SG,93.91452991452992,52.56410256410257,2.050848281282289
SO,100.0,61.37339055793991,0.0
TG,100.9920634920635,51.19363395225464,1.0805441581231754
UR,100.0,60.74074074074074,0.0
VS,100.0,78.04878048780488,0.0
ZG,98.18181818181817,54.71698113207547,0.6699007141691561
ZH,99.38811188811188,56.32183908045977,1.7082842701806933
OVERALL,99.26310356310356,58.60099928622412,1.1640711360759435
