dialect,wer,cer,bleu
AG,73.22577371188483,29.419977154461225,14.55842956724091
BE,83.9634106998639,37.519131765688044,9.483551728418501
BL,70.75026311137422,28.736221481671365,15.697385210880883
FR,71.55146440860726,36.87943262411347,10.936030001527243
GL,57.77777777777778,13.695090439276486,31.231419941658714
GR,63.567821067821065,27.01525054466231,16.655106825135267
LU,75.03579753579754,30.79112122936824,13.815443671855355
NW,50.0,15.0,39.76353643835254
SG,72.70980217100907,30.016354258397282,15.052726729010603
SH,65.40750915750915,26.056338028169012,13.193533907642493
SO,76.11053298553298,32.650695517774345,16.487497865369612
SZ,75.56881390214724,35.687732342007436,13.073377815800837
TG,71.81547896547896,27.736576683476716,15.667078203132382
UR,84.39427239427239,37.52535496957404,8.49419676571966
VS,67.29162993868876,29.96632996632997,14.708244645336368
ZG,83.26370851370851,33.54545454545455,12.706980731488303
ZH,69.97236945153612,28.125899625755686,16.6097920427316
OVERALL,75.2622020698498,31.514516709764003,13.901750437063995
