dialect,wer,cer,bleu
AG,44.45479931591043,18.809493590557178,38.17663202907781
BE,47.564533167981445,21.63628774175595,35.9493157580428
BL,43.38496380163047,16.867469879518072,39.53963630791653
FR,39.81593803022374,21.099290780141843,38.5856340028324
GL,14.166666666666666,3.875968992248062,76.81858469795596
GR,30.11969511969512,13.616557734204793,50.18418752293377
LU,42.62747600982895,17.35913488901537,44.142968359191514
NW,25.0,10.0,75.98356856515926
SG,46.038504120400674,20.656686375644735,37.196423284681764
SH,51.19047619047619,19.366197183098592,30.433943719208372
SO,43.94671686338353,20.131375579598146,47.10451949451948
SZ,42.15152131818799,17.100371747211895,42.772200504097405
TG,47.10366855366855,18.303174132304953,32.99142969551808
UR,50.39649239649239,18.255578093306287,37.42170315339354
VS,45.28642925701749,18.097643097643097,30.912015717983202
ZG,50.5070485070485,23.0,29.534176796583232
ZH,38.033976054809386,15.852605316188464,42.73375112202871
OVERALL,44.15229871197426,18.989558443258815,38.829367342999916
