dialect,wer,cer,bleu
AG,77.45795613851169,30.67648178702881,11.835922389640572
BE,85.19170347988083,38.41658550160011,8.220251412247116
BL,77.33830983830984,31.043322225070497,11.217557531775354
FR,79.08460587032015,37.4113475177305,8.33689909253791
GL,76.66666666666667,16.27906976744186,12.198795605161974
GR,71.7003367003367,27.233115468409586,11.21791628045799
LU,82.25671387436094,32.014797951052934,10.671886242372098
NW,150.0,20.0,6.567274736060395
SG,77.32256010273251,31.727261290728393,11.345596221640324
SH,71.06227106227107,30.985915492957744,11.812622735497905
SO,77.21723492556826,33.11437403400309,13.605977121248278
SZ,80.9069634069634,36.61710037174721,13.075313669557747
TG,78.18713508713509,30.080094927321273,9.426779625892822
UR,90.67510267510266,38.33671399594321,7.085701984674704
VS,79.58472899649371,35.26936026936027,10.786513020109531
ZG,82.49891774891775,34.090909090909086,8.772869811826478
ZH,74.74330646205647,29.7092409557624,11.375883013021914
OVERALL,79.57915298297685,32.94163857156885,10.43207349930972
