dialect,wer,cer,bleu
AG,85.32830595330596,33.58294199771545,7.7011263372435526
BE,93.14746692825511,41.435925977459306,6.092547539948202
BL,88.5853960853961,34.45270443476032,6.903786397446192
FR,88.19335426478283,40.60283687943262,5.251930116798569
GL,69.30555555555556,17.829457364341085,9.69340010631529
GR,80.36556036556037,31.808278867102395,7.655974050466754
LU,91.75763778704955,35.2589641434263,7.212372975788022
NW,150.0,35.0,6.567274736060395
SG,85.67728966435863,34.80940998867782,7.930373524167782
SH,69.29945054945055,27.816901408450708,7.93396326795363
SO,88.51576664076664,37.90571870170015,7.097030840993953
SZ,93.38867922201256,41.44981412639405,6.300142481456747
TG,87.25559440559441,32.6312666864432,7.324453399073194
UR,96.33078033078033,39.85801217038539,5.314847878609965
VS,91.59423909423909,36.61616161616162,5.847658745708181
ZG,93.42524142524142,38.13636363636363,6.23810906892914
ZH,85.16077094202095,33.75875635735534,7.773561986361792
OVERALL,88.53858417879275,36.208307420379036,7.089516241546009
