dialect,wer,cer,bleu
AG,78.61144770866993,32.542200786901894,11.300922205239305
BE,88.46201964428565,42.347293724780855,8.289436959615575
BL,75.6324899380455,30.37682645475519,12.756988542755913
FR,76.26183340469056,37.94326241134752,10.979678703344835
GL,67.36111111111111,16.27906976744186,16.828131917341263
GR,76.12244237244236,30.610021786492375,8.602760104485522
LU,84.7001636707519,35.173591348890156,9.861629099995628
NW,75.0,10.0,17.965205598154213
SG,78.4156002043933,33.7149326959366,11.534895224992972
SH,75.22893772893774,30.28169014084507,12.157385025150331
SO,79.2110821277488,34.65996908809892,11.814484439457487
SZ,81.25127958461292,38.28996282527881,10.835314363880531
TG,79.95387945387945,32.838920201720555,9.917842356488496
UR,91.07111407111408,43.71196754563895,5.209394602290023
VS,74.85514485514486,32.996632996633,11.966891642798956
ZG,88.99331224331223,37.77272727272727,7.661386789443332
ZH,76.9553960699794,31.74359466461952,11.888845101096628
OVERALL,81.28136540940713,35.30490000327322,10.455298706811815
