dialect,wer,cer,bleu
AG,77.25151134873357,30.77801751491306,10.942022483371359
BE,88.39915831295141,39.634061499930425,7.3864426857625975
BL,78.17678206567096,29.99230966418867,11.589040044415357
FR,78.17103531389246,37.94326241134752,7.700343112732893
GL,61.25,14.21188630490956,18.316960698633437
GR,65.9564972064972,28.21350762527233,11.09411802620828
LU,80.03771827301239,32.32783153101878,11.210649408587994
NW,75.0,15.0,21.3643503198117
SG,77.31825167169994,32.746257390866774,10.455367198575745
SH,61.4010989010989,27.11267605633803,12.853033734124406
SO,79.34169225835893,34.23493044822257,11.528302578477897
SZ,79.79958313291647,35.130111524163574,10.5764290495436
TG,77.04875124875124,30.525066745772765,11.157107180340446
UR,81.54763754763755,36.206896551724135,8.666003751800993
VS,74.2180368650957,32.57575757575758,11.3330579415778
ZG,85.6413308913309,35.45454545454545,8.227294171379187
ZH,74.32059067475734,30.237021399097973,11.961496871244016
OVERALL,79.6878562405793,33.4211646099964,10.221620819709534
