dialect,wer,cer,bleu
AG,75.90412159856605,29.826120065998225,11.745688764586717
BE,84.23034136088323,37.39390566300264,8.911066902147711
BL,78.45761234650124,29.402717251986672,10.623879306395757
FR,78.73792873792874,35.638297872340424,9.193376175592718
GL,68.33333333333333,14.21188630490956,12.70359786799277
GR,74.3097643097643,27.01525054466231,10.229127681314283
LU,80.78280107691872,30.819578827546955,11.521715995078798
NW,75.0,15.0,17.965205598154213
SG,78.39441927803998,31.8530632783998,10.853871780671888
SH,71.65750915750915,29.577464788732392,10.273374663546246
SO,78.20946800113467,32.727975270479135,12.42046239223697
SZ,78.94488227821562,34.75836431226766,13.187769990926963
TG,76.5860361860362,28.834173835657072,10.1471870469566
UR,77.28549228549228,34.17849898580121,8.622247931189376
VS,79.65475700769818,31.313131313131315,9.757473259288158
ZG,83.88167388167388,34.27272727272727,8.3724951494271
ZH,75.08639894056562,29.35418865751847,11.151164478340247
OVERALL,78.97909062741044,32.092239206572614,10.481517707479894
