dialect,wer,cer,bleu
AG,80.05201845479623,33.2402589161061,9.067284881665202
BE,89.96195922304297,41.05329066369834,4.7082311637949745
BL,81.38117540895318,32.76083055626762,7.336867167536922
FR,85.03698682270111,39.71631205673759,4.683567033881721
GL,80.41666666666667,19.638242894056848,8.507104473998544
GR,73.88708513708514,30.718954248366014,9.643617396356413
LU,87.02710143886614,35.173591348890156,7.373748897779906
NW,100.0,17.5,10.682175159905853
SG,82.46961611185749,34.079758460183676,7.397695654338887
SH,71.22252747252747,30.985915492957744,8.504047341684512
SO,82.28230103230104,35.58732612055641,8.40112267986671
SZ,85.43225293225292,38.47583643122677,6.178289093160407
TG,81.92888777888778,32.30495401957876,7.190428545988842
UR,94.01420801420801,41.98782961460446,4.055542911204961
VS,84.04982272629331,34.68013468013468,5.6844332786713805
ZG,91.20987345987346,37.18181818181818,4.076539012449339
ZH,80.35818541026873,32.65521543038096,8.132880860315577
OVERALL,84.16113949138284,35.488200058917876,6.927158457530573
