dialect,wer,cer,bleu
AG,27.751620807176362,11.740068536616322,56.380693392787094
BE,29.929371394888634,13.90705440378461,56.762427703420684
BL,26.62264690042468,10.843373493975903,58.11922848651851
FR,37.01496915782631,18.26241134751773,44.251197549232664
GL,5.833333333333333,0.7751937984496124,90.20526672068463
GR,11.274928774928775,5.010893246187364,73.33222668038782
LU,28.897779780132723,10.870802504268639,56.875725497096795
NW,25.0,10.0,75.98356856515926
SG,29.23889807510497,13.649515662347463,55.482995979809026
SH,33.997252747252745,11.619718309859154,44.32398581134471
SO,34.85625485625486,15.765069551777433,55.521677321922866
SZ,14.603698770365437,5.204460966542751,69.79098874965499
TG,27.773232323232325,11.094630673390684,56.39826914652248
UR,21.187627187627186,7.099391480730223,66.20192757945755
VS,31.01006836300954,13.215488215488216,49.0657109518458
ZG,39.70515595515596,16.863636363636363,47.795042461336834
ZH,23.547193547193544,10.095000479800403,62.86306383098046
OVERALL,28.004876544853367,12.21400281496514,57.74201970182838
