dialect,wer,cer,bleu
AG,36.82404786571453,20.535600964589413,51.20933341479776
BE,35.182194652638,17.469041324613883,50.0571460741809
BL,35.23415884526995,14.48346577800564,45.19128335619436
FR,44.00460650460651,20.390070921985814,39.97609201558602
GL,15.0,1.8087855297157622,80.33356578069437
GR,21.97358197358197,10.56644880174292,60.00681640394347
LU,35.04037356978533,14.285714285714285,50.951013729994735
NW,25.0,10.0,75.98356856515926
SG,33.04315177160005,15.637187067555667,50.49832107360946
SH,35.92032967032967,14.788732394366196,42.24360638644941
SO,36.02738311071644,17.04018547140649,54.08977559852613
SZ,40.837588337588336,17.286245353159853,47.148472861061606
TG,35.31211566211566,14.209433402551172,49.30681764628337
UR,30.476301476301476,11.156186612576064,54.195420594833344
VS,33.64806761865585,14.393939393939394,50.91681816049049
ZG,38.28102453102453,18.181818181818183,44.87980087156389
ZH,30.250511448428117,12.791478744842147,53.307843211018486
OVERALL,34.10878840484866,15.9258289417695,50.815606562464005
