dialect,wer,cer,bleu
AG,44.82888253721588,20.25152340204849,35.677756457105325
BE,58.67171553132144,29.92243649042909,27.011223812928556
BL,47.59693495804608,22.309505106048704,33.254727980841096
FR,54.44297765726338,27.898550724637683,21.76232457918295
GL,11.805555555555555,2.393617021276596,74.9001879395215
GR,34.378445628445625,20.17738359201774,44.082061581889775
LU,41.06265738618679,20.436681222707424,41.551442442969744
NW,25.0,10.256410256410255,66.87403049764218
SG,48.0209302192061,23.725112395632628,32.401904860414504
SH,51.350732600732606,21.09090909090909,20.562075493610315
SO,48.64098864098864,24.162396531336224,38.688724302237006
SZ,55.81322997989665,24.47418738049713,33.35945171330765
TG,43.42385392385391,19.206301120872464,35.44684857527742
UR,60.252673252673254,27.206645898234683,27.92972320794159
VS,50.95722904546434,23.752151462994835,35.12221226445422
ZG,66.42715617715618,31.322505800464036,19.237956748012838
ZH,42.8463415442582,20.035183737294762,37.56328968634048
OVERALL,49.17607434409286,23.75881782621778,33.322674258233455
