dialect,wer,cer,bleu
AG,67.41372310816757,27.006352910670294,16.697300825411112
BE,79.1897784754927,35.23091154913542,9.997242906822605
BL,67.94225835892502,25.713537575281485,14.510470674773307
FR,65.46251367679939,32.2463768115942,11.28664104446692
GL,50.416666666666664,10.106382978723403,24.85093232023314
GR,63.800320050320046,25.49889135254989,13.712464211919254
LU,73.4561897797192,28.79184861717613,13.513008005851393
NW,75.0,15.384615384615385,21.3643503198117
SG,71.35581851099094,29.33847141939627,13.605236798573348
SH,54.25824175824176,25.09090909090909,16.508945139876474
SO,70.34428534428535,30.666141111549074,18.58965571764176
SZ,68.75596625596626,31.166347992351817,14.058313993372732
TG,65.96096126096127,26.14359285065132,17.55739812217656
UR,71.29777629777631,30.73727933541018,13.00598377614579
VS,69.13317075081781,29.259896729776248,15.832706505108597
ZG,79.84307359307358,31.647331786542924,11.35224596852425
ZH,64.54166589583252,26.319390148553556,17.29003965079079
OVERALL,70.97366486995692,29.462405135234533,14.289626963079971
