dialect,wer,cer,bleu
AG,26.89601036823259,12.628030597692208,56.78092139205792
BE,30.209221539270786,15.30634028321355,53.72525410411234
BL,27.10037904482349,13.040062843676356,53.92526412432749
FR,36.15670044241473,20.833333333333336,32.4435471677806
GL,2.0833333333333335,0.7978723404255319,97.34827358756195
GR,16.39457764457764,8.314855875831485,65.232270890617
LU,26.736749089690264,11.87772925764192,55.59160900180886
NW,25.0,10.256410256410255,66.87403049764218
SG,27.31781867557729,14.450867052023122,54.19542634669315
SH,36.19505494505494,15.636363636363637,38.19405201579183
SO,32.14553964553964,15.884903429247144,54.8074481949575
SZ,30.471904638571306,11.089866156787762,58.34090312067921
TG,28.391563991563988,13.238412602241745,52.23760396505607
UR,35.458282458282454,9.865005192107997,59.07309620594199
VS,26.562506121329648,12.908777969018933,55.07503430198072
ZG,38.118409368409374,18.88631090487239,42.86554446857089
ZH,25.812817583650908,11.972243940578577,55.83786626673706
OVERALL,28.227479035706175,13.658854601985892,54.62921366917138
