dialect,wer,cer,bleu,chrf,semdist
AG,66.68087056975945,28.393621159082073,17.57006670179969,58.669643228239025,0.25316408856047523
BE,79.94725854331763,36.71102255746104,11.149704502168504,49.495165395071346,0.34449355502433965
BL,64.36799311799311,27.755957056821156,19.444867698562614,59.541717973082285,0.29823191795084214
FR,65.9675641818499,35.688405797101446,12.80104737941325,50.022149802751294,0.3254111664635794
GL,54.72222222222223,11.96808510638298,35.56688580195037,79.79749452330378,0.20191132028897604
GR,59.71551596551597,25.942350332594234,21.01335484921721,62.631887779585874,0.24805142482121786
LU,68.16320389849801,29.781659388646286,16.97468008833683,54.98023277504749,0.32533590378714544
NW,50.0,12.82051282051282,39.76353643835252,92.81180983192874,0.062294721603393555
SG,67.64601299084057,29.107257546563904,17.789680144426864,58.584494425791036,0.2690993967498171
SH,56.34157509157509,24.727272727272727,16.750944160040266,59.79961775650895,0.2861951142549515
SO,71.13452134285467,31.888056759952697,18.56755506722415,58.348990932563915,0.23156210449006823
SZ,69.9691666358333,34.22562141491396,15.753650591668405,51.291469910005915,0.2612025373511844
TG,66.15456765456766,26.7494698576189,17.52693794112609,59.652217064009186,0.23235488951206207
UR,80.1056721056721,36.24091381100727,10.106395561035738,44.45405588227517,0.46031965911388395
VS,61.34463575640046,28.74354561101549,17.296647591049748,56.1397708734685,0.2691582546514623
ZG,77.70282495282495,32.76102088167053,15.268622301905623,57.18098476382447,0.2995243380467097
ZH,65.03818712152048,27.326035965598123,18.472606682235924,60.68195969521973,0.24146463147674999
OVERALL,70.04790272171496,30.59576744341547,16.28336336154841,56.50049360369557,0.2855168763604253
