dialect,wer,cer,bleu,chrf,semdist
AG,42.00367647058824,19.979255801892908,38.63655305829767,75.17273076771696,0.13152623838848537
BE,52.41413638626182,26.95509855546858,29.918519419356624,68.11489990199325,0.15246281057155778
BL,42.49084249084249,20.450379680544646,37.82696868574214,74.203157404945,0.1326135579082701
FR,50.617283950617285,26.6304347826087,28.10955512005117,68.4992569387948,0.10708988564355033
GL,12.5,3.1914893617021276,77.08553685033706,94.4542019770557,0.07750728726387024
GR,33.064516129032256,20.066518847006652,48.76072543614578,75.46803665693453,0.0717698981364568
LU,41.37214137214137,19.446870451237263,42.33990347335983,74.98551743314755,0.146684935279921
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,45.0313339301701,22.890173410404625,35.01530959918435,72.10843195283772,0.1316372651992173
SH,44.44444444444444,20.363636363636363,25.51306945396434,70.03823897692912,0.1628510057926178
SO,47.72727272727273,24.241229798975166,39.09313059967478,74.81522840667526,0.10602362867858675
SZ,39.285714285714285,20.076481835564053,45.38280541651017,75.8374755386762,0.10952328973346287
TG,41.825902335456476,18.96395031808543,36.90185334284238,75.30312618523706,0.12867049366235733
UR,51.06382978723404,24.81827622014538,34.68411181397726,66.6522144501497,0.19877606232961018
VS,43.35260115606936,20.998278829604132,42.82150260580666,71.1460578621812,0.1722276706029387
ZG,60.689655172413794,29.327146171693734,22.224771737861563,66.99055027518052,0.14918840924898782
ZH,40.508940852819805,19.536747458952306,41.532695710781944,75.98243589684208,0.10978428522745769
OVERALL,45.404325340855664,22.433218548360134,36.49014801603498,72.73112252426107,0.1335204625772021
