dialect,wer,cer,bleu,chrf,semdist
AG,66.45220588235294,27.006352910670294,14.246954333289924,59.068676283961295,0.24972886509365505
BE,78.69586859133898,35.23091154913542,6.791695170937319,48.723987041062905,0.3537297792769418
BL,67.21611721611723,25.713537575281485,13.507813210382032,59.93674491654377,0.25741435477027186
FR,66.66666666666666,32.2463768115942,8.66569491329413,52.15747407456113,0.24084400279181345
GL,47.91666666666667,10.106382978723403,23.63788184481901,79.98669489335913,0.20521149039268494
GR,64.51612903225806,25.49889135254989,10.135082153947028,60.521171305199296,0.21878490348656973
LU,73.38877338877339,28.79184861717613,8.831012348455348,55.13146978408422,0.30006139769273643
NW,75.0,15.384615384615385,21.3643503198117,79.33155324073022,0.15479594469070435
SG,71.35183527305283,29.33847141939627,11.433439059808926,57.203560303543064,0.2878682220290447
SH,57.77777777777777,25.09090909090909,10.754184833296382,56.88972898736209,0.22948582470417023
SO,68.4659090909091,30.666141111549074,16.832816391310825,59.40804382628275,0.23518016106552547
SZ,70.23809523809523,31.166347992351817,11.05910284791924,53.01937586245277,0.29377471407254535
TG,66.87898089171973,26.14359285065132,13.397427307087307,58.62681168810139,0.2587916848063469
UR,71.63120567375887,30.73727933541018,8.681872143467764,49.73652500140748,0.3270118862390518
VS,70.52023121387283,29.259896729776248,12.103716796952636,53.58044551953667,0.3006368156741647
ZG,78.27586206896552,31.647331786542924,10.26341454533152,56.934148996930176,0.3189611425002416
ZH,64.71801925722146,26.319390148553556,14.519079394066054,60.73346147262508,0.2424549631153544
OVERALL,70.67465914433474,29.462405135234533,11.619508734042068,56.231393825616074,0.2856753386928336
