dialect,wer,cer,bleu,chrf,semdist
AG,24.816176470588236,11.68157655905614,59.7157197729177,85.7660871102402,0.0613457218364433
BE,27.277252364360375,13.94008396783605,58.087564264417274,84.39163435453406,0.05890972552628353
BL,23.076923076923077,10.683424980361352,60.69337938737399,87.62103134656081,0.05115933992244579
FR,32.098765432098766,18.115942028985508,43.60250679747386,80.19308914352195,0.07017413207462855
GL,0.0,0.0,100.00000000000004,100.0,6.953875223795573e-08
GR,9.67741935483871,4.988913525498892,78.59266822678234,91.59447569489011,0.01753706733385722
LU,25.779625779625782,10.858806404657933,58.48818571606507,85.5044430047096,0.08920002509565915
NW,25.0,10.256410256410255,66.87403049764218,98.2363296511681,0.0038907527923583984
SG,26.051924798567594,13.667308927424534,56.89044241675986,85.01461505876655,0.050474461810342194
SH,31.11111111111111,11.636363636363637,45.633750476590116,77.97056094094522,0.04586857557296753
SO,30.39772727272727,15.845486795427671,54.67050305890345,84.56301454768193,0.03847812447283003
SZ,10.714285714285714,4.588910133843212,79.04575106205876,92.8496373831319,0.008426500691307915
TG,23.991507430997878,10.845198424719783,58.18858317187848,86.52291249316623,0.0463237202167511
UR,18.439716312056735,7.268951194184839,67.54257824470349,86.62320828840724,0.02845807870229085
VS,28.32369942196532,13.080895008605854,54.73038584620559,79.2548774807895,0.10281053360770731
ZG,33.793103448275865,16.751740139211137,51.00133626026873,83.75697684616212,0.06932029724121094
ZH,21.38927097661623,10.115324472243941,64.99753619302123,87.55214485045146,0.0476393016676108
OVERALL,24.97649271274095,12.182809000033433,59.81086976175803,85.72209655033288,0.055076988623288664
