timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/18 07:15:42.239, 6747, 97887, 0
2026/06/18 07:15:43.242, 6747, 97887, 0
2026/06/18 07:15:44.243, 7013, 97887, 4
2026/06/18 07:15:45.243, 59975, 97887, 100
2026/06/18 07:15:46.243, 71509, 97887, 97
2026/06/18 07:15:47.244, 71889, 97887, 100
2026/06/18 07:15:48.244, 71889, 97887, 100
2026/06/18 07:15:49.245, 71889, 97887, 93
2026/06/18 07:15:50.245, 71889, 97887, 100
2026/06/18 07:15:51.246, 71889, 97887, 100
2026/06/18 07:15:52.247, 71889, 97887, 94
2026/06/18 07:15:53.247, 71889, 97887, 100
2026/06/18 07:15:54.247, 71889, 97887, 100
2026/06/18 07:15:55.248, 71889, 97887, 94
2026/06/18 07:15:56.248, 71889, 97887, 100
2026/06/18 07:15:57.249, 71889, 97887, 100
2026/06/18 07:15:58.249, 71889, 97887, 94
2026/06/18 07:15:59.250, 71889, 97887, 100
2026/06/18 07:16:00.250, 71889, 97887, 100
2026/06/18 07:16:01.251, 71889, 97887, 95
2026/06/18 07:16:02.251, 71889, 97887, 100
2026/06/18 07:16:03.252, 72033, 97887, 100
2026/06/18 07:16:04.252, 72033, 97887, 100
2026/06/18 07:16:05.253, 72033, 97887, 100
2026/06/18 07:16:06.253, 72033, 97887, 100
2026/06/18 07:16:07.254, 72033, 97887, 100
2026/06/18 07:16:08.254, 72033, 97887, 100
2026/06/18 07:16:09.255, 72033, 97887, 100
2026/06/18 07:16:10.255, 72033, 97887, 100
2026/06/18 07:16:11.256, 72033, 97887, 100
2026/06/18 07:16:12.256, 72033, 97887, 100
2026/06/18 07:16:13.257, 72033, 97887, 100
2026/06/18 07:16:14.257, 72033, 97887, 97
2026/06/18 07:16:15.258, 72033, 97887, 100
2026/06/18 07:16:16.258, 72033, 97887, 100
2026/06/18 07:16:17.259, 72033, 97887, 97
2026/06/18 07:16:18.259, 72033, 97887, 100
2026/06/18 07:16:19.260, 72033, 97887, 100
2026/06/18 07:16:20.260, 72033, 97887, 98
2026/06/18 07:16:21.261, 72033, 97887, 100
2026/06/18 07:16:22.261, 72033, 97887, 100
2026/06/18 07:16:23.262, 72033, 97887, 94
2026/06/18 07:16:24.262, 72033, 97887, 100
2026/06/18 07:16:25.263, 72033, 97887, 100
2026/06/18 07:16:26.264, 72033, 97887, 92
2026/06/18 07:16:27.264, 72033, 97887, 100
2026/06/18 07:16:28.264, 72033, 97887, 100
2026/06/18 07:16:29.265, 72033, 97887, 95
2026/06/18 07:16:30.265, 72033, 97887, 100
2026/06/18 07:16:31.266, 72185, 97887, 100
2026/06/18 07:16:32.266, 72185, 97887, 94
2026/06/18 07:16:33.267, 72185, 97887, 100
2026/06/18 07:16:34.267, 72185, 97887, 100
2026/06/18 07:16:35.268, 72185, 97887, 100
2026/06/18 07:16:36.268, 72185, 97887, 100
2026/06/18 07:16:37.269, 72185, 97887, 100
2026/06/18 07:16:38.269, 72185, 97887, 100
2026/06/18 07:16:39.270, 72185, 97887, 100
2026/06/18 07:16:40.270, 72185, 97887, 100
2026/06/18 07:16:41.271, 72185, 97887, 100
2026/06/18 07:16:42.271, 72185, 97887, 100
2026/06/18 07:16:43.272, 72185, 97887, 100
2026/06/18 07:16:44.272, 72185, 97887, 100
2026/06/18 07:16:45.273, 72185, 97887, 97
