global_step,phase,max_allocated_bytes,max_reserved_bytes,max_allocated_gb,max_reserved_gb
1,train,60828099072,62134419456,56.6506,57.8672
2,train,73162402816,74226597888,68.1378,69.1289
3,train,73558091776,74625056768,68.5063,69.5
4,train,73256801792,74625056768,68.2257,69.5
5,train,73208546304,74625056768,68.1808,69.5
6,train,73184043008,74625056768,68.158,69.5
7,train,73511930880,74625056768,68.4633,69.5
8,train,73256801792,74625056768,68.2257,69.5
9,train,73255864832,74625056768,68.2248,69.5
10,train,73638834688,74625056768,68.5815,69.5
11,train,73372147200,74625056768,68.3331,69.5
12,train,73225782272,74625056768,68.1968,69.5
13,train,73557433344,74625056768,68.5057,69.5
14,train,73158075904,74625056768,68.1338,69.5
15,train,73255864832,74625056768,68.2248,69.5
16,train,73513020416,74625056768,68.4643,69.5
17,train,73398406656,74625056768,68.3576,69.5
18,train,73184043008,74625056768,68.158,69.5
19,train,73208546304,74625056768,68.1808,69.5
20,train,73209483264,74625056768,68.1816,69.5
21,train,73511930880,74625056768,68.4633,69.5
22,train,73595184640,74625056768,68.5409,69.5
23,train,73594062336,74625056768,68.5398,69.5
24,train,73438495232,74625056768,68.3949,69.5
25,train,73826484224,74776051712,68.7563,69.6406
26,train,73158339584,74776051712,68.134,69.6406
27,train,73594288640,74776051712,68.54,69.6406
28,train,73225782272,74776051712,68.1968,69.6406
29,train,73398406656,74776051712,68.3576,69.6406
30,train,73373457920,74776051712,68.3344,69.6406
31,train,73511783424,74776051712,68.4632,69.6406
32,train,73225782272,74776051712,68.1968,69.6406
33,train,73438093824,74776051712,68.3946,69.6406
34,train,73209483264,74776051712,68.1816,69.6406
35,train,73438093824,74776051712,68.3946,69.6406
36,train,73477796864,74776051712,68.4315,69.6406
37,train,73725166592,74776051712,68.6619,69.6406
38,train,73337137664,74776051712,68.3005,69.6406
39,train,73183106048,74776051712,68.1571,69.6406
40,train,73399700992,74776051712,68.3588,69.6406
41,train,73372147200,74776051712,68.3331,69.6406
42,train,73512872960,74776051712,68.4642,69.6406
43,train,73372147200,74776051712,68.3331,69.6406
44,train,73337137664,74776051712,68.3005,69.6406
45,train,73335826944,74776051712,68.2993,69.6406
46,train,73438495232,74776051712,68.3949,69.6406
47,train,73255856128,74776051712,68.2248,69.6406
48,train,73399700992,74776051712,68.3588,69.6406
49,train,73372147200,74776051712,68.3331,69.6406
50,train,73225782272,74776051712,68.1968,69.6406
51,train,73637327360,74776051712,68.5801,69.6406
52,train,73256793088,74776051712,68.2257,69.6406
53,train,73476379648,74776051712,68.4302,69.6406
54,train,73399700992,74776051712,68.3588,69.6406
55,train,73224845312,74776051712,68.196,69.6406
56,train,73477796864,74776051712,68.4315,69.6406
57,train,73594288640,74776051712,68.54,69.6406
58,train,73477796864,74776051712,68.4315,69.6406
59,train,73224845312,74776051712,68.196,69.6406
60,train,73184043008,74776051712,68.158,69.6406
61,train,73372147200,74776051712,68.3331,69.6406
62,train,73940649984,74935435264,68.8626,69.7891
63,train,73475160064,74935435264,68.4291,69.7891
64,train,73512594432,74935435264,68.4639,69.7891
65,train,73398547456,74935435264,68.3577,69.7891
66,train,73336705024,74935435264,68.3001,69.7891
67,train,73475160064,74935435264,68.4291,69.7891
68,train,73256793088,74935435264,68.2257,69.7891
69,train,73335394304,74935435264,68.2989,69.7891
70,train,73373312000,74935435264,68.3342,69.7891
71,train,73558907904,74935435264,68.5071,69.7891
72,train,73157518848,74935435264,68.1332,69.7891
73,train,73724909056,74935435264,68.6617,69.7891
74,train,73559661568,74935435264,68.5078,69.7891
75,train,73558907904,74935435264,68.5071,69.7891
76,train,73559661568,74935435264,68.5078,69.7891
77,train,73866014720,74935435264,68.7931,69.7891
78,train,73225782272,74935435264,68.1968,69.7891
79,train,73398547456,74935435264,68.3577,69.7891
80,train,73336705024,74935435264,68.3001,69.7891
81,train,73438093824,74935435264,68.3946,69.7891
82,train,73373312000,74935435264,68.3342,69.7891
83,train,73183106048,74935435264,68.1571,69.7891
84,train,73438495232,74935435264,68.3949,69.7891
85,train,73335394304,74935435264,68.2989,69.7891
86,train,73256793088,74935435264,68.2257,69.7891
87,train,73255856128,74935435264,68.2248,69.7891
88,train,73336705024,74935435264,68.3001,69.7891
89,train,73372001280,74935435264,68.333,69.7891
90,train,73438495232,74935435264,68.3949,69.7891
91,train,73475160064,74935435264,68.4291,69.7891
92,train,73373312000,74935435264,68.3342,69.7891
93,train,73208546304,74935435264,68.1808,69.7891
94,train,73336705024,74935435264,68.3001,69.7891
95,train,73224845312,74935435264,68.196,69.7891
96,train,73209483264,74935435264,68.1816,69.7891
97,train,73475160064,74935435264,68.4291,69.7891
98,train,73373312000,74935435264,68.3342,69.7891
99,train,73438093824,74935435264,68.3946,69.7891
100,train,73373312000,74935435264,68.3342,69.7891
101,train,73866014720,74935435264,68.7931,69.7891
102,train,73256793088,74935435264,68.2257,69.7891
103,train,73558907904,74935435264,68.5071,69.7891
104,train,73209483264,74935435264,68.1816,69.7891
105,train,73335394304,74935435264,68.2989,69.7891
106,train,73725875712,74935435264,68.6626,69.7891
107,train,73224845312,74935435264,68.196,69.7891
108,train,73638425088,74935435264,68.5811,69.7891
109,train,73208546304,74935435264,68.1808,69.7891
110,train,73256793088,74935435264,68.2257,69.7891
111,train,73099474432,74935435264,68.0792,69.7891
112,train,73399841792,74935435264,68.3589,69.7891
113,train,73511504896,74935435264,68.4629,69.7891
114,train,73336705024,74935435264,68.3001,69.7891
115,train,73255856128,74935435264,68.2248,69.7891
116,train,74402966528,75686215680,69.2932,70.4883
117,train,73476382208,75686215680,68.4302,70.4883
118,train,73394302464,75686215680,68.3538,70.4883
119,train,73511309824,75686215680,68.4627,70.4883
120,train,73477799424,75686215680,68.4315,70.4883
121,train,73371328000,75686215680,68.3324,70.4883
122,train,73372638720,75686215680,68.3336,70.4883
123,train,73333082624,75686215680,68.2968,70.4883
124,train,73372638720,75686215680,68.3336,70.4883
125,train,73393008128,75686215680,68.3526,70.4883
125,eval,26290878464,76724305920,24.4853,71.4551
