global_step,phase,max_allocated_bytes,max_reserved_bytes,max_allocated_gb,max_reserved_gb
1,train,80606599680,81449189376,75.0707,75.8555
2,train,92964927488,93906272256,86.5803,87.457
3,train,93285180928,94707384320,86.8786,88.2031
4,train,93037906944,94707384320,86.6483,88.2031
5,train,92991388160,94707384320,86.605,88.2031
6,train,92967335424,94707384320,86.5826,88.2031
7,train,93261328384,94707384320,86.8564,88.2031
8,train,93037906944,94707384320,86.6483,88.2031
9,train,93038169088,94707384320,86.6485,88.2031
10,train,93432499712,94707384320,87.0158,88.2031
11,train,93168589824,94707384320,86.77,88.2031
12,train,92997227520,94707384320,86.6104,88.2031
13,train,93285180928,94707384320,86.8786,88.2031
14,train,92966969856,94707384320,86.5822,88.2031
15,train,93038169088,94707384320,86.6485,88.2031
16,train,93261041664,94707384320,86.8561,88.2031
17,train,93179479040,94707384320,86.7802,88.2031
18,train,92967335424,94707384320,86.5826,88.2031
19,train,92991388160,94707384320,86.605,88.2031
20,train,92991183360,94707384320,86.6048,88.2031
21,train,93261328384,94707384320,86.8564,88.2031
22,train,93428109312,94707384320,87.0117,88.2031
23,train,93427479040,94707384320,87.0111,88.2031
24,train,93223542272,94707384320,86.8212,88.2031
25,train,93526833152,94973722624,87.1037,88.4512
26,train,92966969856,94973722624,86.5822,88.4512
27,train,93427479040,94973722624,87.0111,88.4512
28,train,92997227520,94973722624,86.6104,88.4512
29,train,93179479040,94973722624,86.7802,88.4512
30,train,93168589824,94973722624,86.77,88.4512
31,train,93261328384,94973722624,86.8564,88.4512
32,train,92997227520,94973722624,86.6104,88.4512
33,train,93224484352,94973722624,86.8221,88.4512
34,train,92991183360,94973722624,86.6048,88.4512
35,train,93224484352,94973722624,86.8221,88.4512
36,train,93254028800,94973722624,86.8496,88.4512
37,train,93446053888,94973722624,87.0284,88.4512
38,train,93153311232,94973722624,86.7558,88.4512
39,train,92967540224,94973722624,86.5828,88.4512
40,train,93178618880,94973722624,86.7794,88.4512
41,train,93168589824,94973722624,86.77,88.4512
42,train,93261041664,94973722624,86.8561,88.4512
43,train,93168589824,94973722624,86.77,88.4512
44,train,93153311232,94973722624,86.7558,88.4512
45,train,93153311232,94973722624,86.7558,88.4512
46,train,93223542272,94973722624,86.8212,88.4512
47,train,93038169088,94973722624,86.6485,88.4512
48,train,93178618880,94973722624,86.7794,88.4512
49,train,93168589824,94973722624,86.77,88.4512
50,train,92997227520,94973722624,86.6104,88.4512
51,train,93432761856,94973722624,87.016,88.4512
52,train,93037906944,94973722624,86.6483,88.4512
53,train,93253053952,94973722624,86.8487,88.4512
54,train,93178618880,94973722624,86.7794,88.4512
55,train,92997489664,94973722624,86.6107,88.4512
56,train,93254028800,94973722624,86.8496,88.4512
57,train,93427479040,94973722624,87.0111,88.4512
58,train,93254028800,94973722624,86.8496,88.4512
